"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5233, 2.291666478260868e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.937584554111304e-01, 3.639039393283044e-01, 4.734125892154179e-03, 9.911602427001322e-04, 2.542410509309162e+00, 9.903079331412015e-01, 9.965278058756228e-01, 3.100527226663345e-01, -1.538423310920403e-01
5234, 2.083332964426877e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.950022699765132e-01, 3.618783242810704e-01, 3.144910749411015e-03, 2.110393073758519e-03, 2.547192033490250e+00, 9.925511918856855e-01, 9.975366105537777e-01, 3.077753566539322e-01, -1.182350494335632e-01
5235, 1.874999466403162e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.961041870613134e-01, 3.594203035228865e-01, 2.180086557653289e-03, 2.943916158842334e-03, 2.550894275370458e+00, 9.944173766605013e-01, 9.983065923999493e-01, 3.052280270883156e-01, -8.861306888093115e-02
5236, 1.666665992094861e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.938412904023989e-01, 3.561956915357686e-01, 4.782576601320927e-03, -5.578573574557827e-05, 2.541971940747246e+00, 9.912518524368878e-01, 9.973945156127872e-01, 3.033285361205125e-01, -1.388594851287644e-01
5237, 1.458332549407115e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.936028511462404e-01, 3.524493424688984e-01, 4.505151030957623e-03, 1.226745459074280e-04, 2.541395501340545e+00, 9.915500495836941e-01, 9.979339818115680e-01, 3.001265770389445e-01, -1.341261970842210e-01
5238, 1.249999146245059e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.912236051002331e-01, 3.467982031236666e-01, 3.378446294058734e-03, 2.324389574121487e-03, 2.532330770678109e+00, 9.886621416292988e-01, 9.974158570702368e-01, 2.960965937350349e-01, -1.799660058841465e-01
5239, 1.041665790513834e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.870651033483692e-01, 3.382329403356594e-01, 3.681140510636281e-03, -3.616737464822451e-04, 2.520374734664076e+00, 9.849669846242154e-01, 9.978743866873258e-01, 2.899306405744073e-01, -2.386192916791209e-01
5240, 8.333324901185771e-02, 5.000000000000000e-01, 1.250000000000000e+00, 9.814310787133812e-01, 3.212035553323684e-01, 4.340757111838298e-03, 2.177167566693766e-03, 2.504846668633658e+00, 9.809091100189549e-01, 9.994681555274261e-01, 2.767079691114575e-01, -3.030299996991292e-01
5241, 6.249992529644269e-02, 5.000000000000000e-01, 1.250000000000000e+00, 9.635443529791312e-01, 2.937898174864734e-01, 5.038536663927942e-03, 2.680411761471364e-03, 2.446245819144679e+00, 9.605759501252344e-01, 9.969192877891727e-01, 2.581385941617108e-01, -6.257785694407234e-01
5242, 4.166660869565218e-02, 5.000000000000000e-01, 1.250000000000000e+00, 9.686909972042066e-01, 2.669879224239867e-01, 1.843112589890910e-04, 8.160406177298192e-03, 2.464128919328154e+00, 9.709205178658614e-01, 1.002301580863340e+00, 2.327801773386241e-01, -4.615790814942634e-01
